City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Pathein,MM,2020-06-28 14:24:46,16.78,94.73,77.79,86,88,2.68
231,Mar Del Plata,AR,2020-06-28 14:22:58,-38.0,-57.56,46.4,75,0,3.36
232,Peniche,PT,2020-06-28 14:22:58,39.36,-9.38,80.01,72,1,11.99
233,Surab,PK,2020-06-28 14:24:46,28.49,66.26,89.49,12,0,14.41
234,Horsham,GB,2020-06-28 14:24:46,51.06,-0.33,66.99,48,40,17.22
235,Lasa,IT,2020-06-28 14:24:46,46.62,10.7,78.01,49,75,8.05
236,Mercedes,AR,2020-06-28 14:24:46,-34.65,-59.43,52.0,80,61,1.99
237,Fairbanks,US,2020-06-28 14:24:46,64.84,-147.72,57.0,66,1,5.82
238,Porto Walter,BR,2020-06-28 14:24:46,-8.27,-72.74,80.51,73,33,0.83
239,Shetpe,KZ,2020-06-28 14:22:58,44.17,52.12,81.34,21,28,17.69
240,Havelock,US,2020-06-28 14:21:55,34.88,-76.9,84.2,62,1,8.05
241,Kachiry,KZ,2020-06-28 14:24:47,53.07,76.1,62.94,50,37,12.41
242,Gbarnga,LR,2020-06-28 14:24:47,7.0,-9.47,83.98,68,75,3.49
243,Olafsvik,IS,2020-06-28 14:22:58,64.89,-23.71,54.16,83,100,5.26
244,Timizart,DZ,2020-06-28 14:24:47,36.8,4.27,86.61,33,0,7.76
245,Urzhum,RU,2020-06-28 14:24:47,57.11,50.0,58.93,68,51,10.6
246,Vardo,NO,2020-06-28 14:24:47,70.37,31.11,51.8,66,20,5.82
247,Zabaykalsk,RU,2020-06-28 14:22:58,49.63,117.32,63.07,63,15,3.33
248,Belaya Gora,RU,2020-06-28 14:24:47,68.53,146.42,63.82,46,100,4.76
249,Tasiilaq,GL,2020-06-28 14:24:47,65.61,-37.64,46.4,81,100,10.29
250,Nikolayevka,RU,2020-06-28 14:24:47,53.13,47.2,69.35,59,43,5.86
