City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
75,Cape Town,-33.93,18.42,62.01,71,75,Clouds,5.82,ZA,2020-06-28 16:16:49,0.0,0
76,Tamandare,-8.76,-35.1,78.44,81,53,Rain,11.65,BR,2020-06-28 16:20:26,0.78,0
77,Glendive,47.11,-104.71,68.0,83,90,Clouds,10.0,US,2020-06-28 16:20:26,0.0,0
78,Mataura,-46.19,168.86,41.68,90,99,Clouds,4.32,NZ,2020-06-28 16:18:41,0.0,0
79,Tasiilaq,65.61,-37.64,46.4,75,100,Rain,17.22,GL,2020-06-28 16:18:43,0.0,0
80,Kavaratti,10.57,72.64,83.97,80,99,Clouds,19.73,IN,2020-06-28 16:18:04,0.0,0
81,Daru,-9.08,143.21,77.85,86,97,Rain,15.39,PG,2020-06-28 16:20:26,0.14,0
82,Yellowknife,62.46,-114.35,63.0,51,75,Clouds,10.29,CA,2020-06-28 16:18:42,0.0,0
83,Saint-Philippe,-21.36,55.77,70.0,83,34,Clouds,4.7,RE,2020-06-28 16:17:45,0.0,0
84,Grand-Santi,4.25,-54.38,90.9,50,76,Clouds,3.51,GF,2020-06-28 16:20:26,0.0,0
85,Umm Kaddadah,13.6,26.69,99.46,17,26,Clouds,5.93,SD,2020-06-28 16:20:26,0.0,0
86,Kochubey,44.39,46.58,75.31,43,0,Clear,11.16,RU,2020-06-28 16:20:26,0.0,0
87,Erzin,36.96,36.2,78.01,88,0,Clear,5.99,TR,2020-06-28 16:20:26,0.0,0
88,Davila,18.47,120.58,78.8,94,75,Thunderstorm,4.7,PH,2020-06-28 16:20:26,0.0,0
89,Hithadhoo,-0.6,73.08,85.68,68,100,Clouds,8.05,MV,2020-06-28 16:17:26,0.0,0
90,Cabo San Lucas,22.89,-109.91,84.2,58,90,Clouds,4.7,MX,2020-06-28 16:20:26,0.0,0
91,Aklavik,68.22,-135.01,53.6,58,40,Clouds,4.7,CA,2020-06-28 16:20:26,0.0,0
92,Srednekolymsk,67.45,153.68,52.79,45,100,Clouds,10.33,RU,2020-06-28 16:16:53,0.0,0
93,Vostok,46.49,135.88,48.78,97,96,Clouds,2.75,RU,2020-06-28 16:20:26,0.0,0
94,Yakeshi,49.28,120.73,56.3,77,37,Clouds,6.13,CN,2020-06-28 16:20:26,0.0,0
95,Bandarbeyla,9.49,50.81,80.94,73,0,Clear,32.68,SO,2020-06-28 16:18:50,0.0,0
96,Bonthe,7.53,-12.51,80.49,82,85,Rain,11.5,SL,2020-06-28 16:20:26,1.48,0
97,Slave Lake,55.28,-114.77,55.4,87,90,Mist,5.82,CA,2020-06-28 16:20:26,0.0,0
98,Upernavik,72.79,-56.15,41.63,70,0,Clear,8.93,GL,2020-06-28 16:17:35,0.0,0
99,Ilulissat,69.22,-51.1,42.8,75,75,Clouds,5.82,GL,2020-06-28 16:17:35,0.0,0
100,Talnakh,69.49,88.4,75.2,47,30,Clouds,15.66,RU,2020-06-28 16:20:26,0.0,0
101,Severo-Kurilsk,50.68,156.12,48.7,67,60,Clouds,2.86,RU,2020-06-28 16:17:05,0.0,0
102,Pisco,-13.7,-76.22,62.6,82,90,Mist,3.36,PE,2020-06-28 16:18:42,0.0,0
103,Antofagasta,-23.65,-70.4,59.0,67,75,Clouds,3.36,CL,2020-06-28 16:15:28,0.0,0
104,Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,81,71,Clouds,6.71,RU,2020-06-28 16:17:09,0.0,0
105,Klaksvik,62.23,-6.59,55.4,93,96,Clouds,18.34,FO,2020-06-28 16:16:45,0.0,0
106,Hermanus,-34.42,19.23,59.0,72,28,Clouds,1.99,ZA,2020-06-28 16:17:26,0.0,0
107,Qaanaaq,77.48,-69.36,43.79,63,29,Clouds,4.5,GL,2020-06-28 16:18:43,0.0,0
108,Kiama,-34.68,150.87,52.0,95,6,Rain,5.01,AU,2020-06-28 16:20:27,0.25,0
109,Lasa,46.62,10.7,78.01,52,40,Clouds,6.93,IT,2020-06-28 16:20:27,0.0,0
110,Youghal,51.95,-7.85,62.01,62,75,Clouds,17.22,IE,2020-06-28 16:20:27,0.0,0
111,Wewak,-3.55,143.63,80.06,84,97,Rain,8.08,PG,2020-06-28 16:20:27,0.75,0
112,Marki,52.32,21.1,87.01,54,23,Rain,8.05,PL,2020-06-28 16:20:27,0.85,0
113,Mayumba,-3.43,10.66,75.25,75,36,Clouds,7.56,GA,2020-06-28 16:17:01,0.0,0
114,Jati,24.35,68.27,86.94,72,0,Clear,19.44,PK,2020-06-28 16:20:27,0.0,0
115,Torbay,47.67,-52.73,68.0,87,75,Clouds,8.05,CA,2020-06-28 16:18:43,0.0,0
116,Seki,34.85,136.4,73.4,69,20,Clouds,19.46,JP,2020-06-28 16:20:27,0.0,0
117,Atuona,-9.8,-139.03,79.63,79,59,Rain,14.61,PF,2020-06-28 16:16:46,0.41,0
118,Bubaque,11.28,-15.83,82.22,77,29,Clouds,11.27,GW,2020-06-28 16:18:46,0.0,0
119,Longyearbyen,78.22,15.64,44.6,65,75,Clouds,6.93,SJ,2020-06-28 16:18:42,0.0,0
120,Ucluelet,48.93,-125.55,55.99,87,20,Clouds,2.24,CA,2020-06-28 16:17:19,0.0,0
121,Neiafu,-18.65,-173.98,77.0,88,75,Clouds,8.05,TO,2020-06-28 16:20:27,0.0,0
122,Agadir,30.42,-9.6,80.6,51,4,Clear,14.99,MA,2020-06-28 16:16:07,0.0,0
123,Saskylakh,71.92,114.08,69.39,52,92,Clouds,8.86,RU,2020-06-28 16:17:42,0.0,0
